Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.766816	1.397278	74.851997	63.919998	
0.100000	1.734320	1.583321	75.498001	59.769997	
0.100000	1.743666	1.339048	75.012001	64.379997	
0.100000	1.742672	1.546801	75.026001	60.680000	
0.100000	1.750907	1.463642	75.047997	62.469997	
0.100000	1.734404	1.406045	75.000000	63.160000	
0.100000	1.749155	1.369199	75.105995	63.730000	
0.100000	1.729420	1.478102	75.279999	62.119999	
0.100000	1.728279	1.488902	75.339996	60.939999	
0.100000	1.734838	1.328112	75.131996	65.049995	
0.100000	1.739036	1.258964	75.379997	65.669998	
0.100000	1.723702	1.577486	75.647995	59.849998	
0.100000	1.750556	1.531321	74.987999	61.899998	
0.100000	1.739478	1.323425	75.208000	64.790001	
0.100000	1.729139	1.313445	75.467995	65.199997	
0.100000	1.722200	1.431228	75.091995	62.469997	
0.100000	1.729892	1.534693	75.393997	60.689999	
0.100000	1.720330	1.305453	75.279999	65.229996	
0.100000	1.719682	1.359689	75.251999	64.510002	
0.100000	1.723984	1.567615	75.458000	60.709999	
0.100000	1.728740	1.488447	75.463997	60.789997	
0.100000	1.720603	1.395603	75.428001	64.159996	
0.100000	1.713377	1.680774	75.715996	58.539997	
0.100000	1.724965	1.426556	75.400002	63.489998	
0.100000	1.723520	1.419756	75.386002	63.669998	
0.100000	1.732677	1.443812	75.236000	62.430000	
0.100000	1.717306	1.477041	75.517998	61.329998	
0.100000	1.719875	1.329113	75.561996	64.589996	
0.100000	1.716423	1.392234	75.332001	63.309998	
0.100000	1.715351	1.174682	75.467995	67.809998	
0.100000	1.729739	1.492168	75.411995	62.459999	
0.100000	1.712252	1.394701	75.014000	63.660000	
0.100000	1.730709	1.423473	75.217995	62.500000	
0.100000	1.714260	1.308315	75.708000	65.409996	
0.100000	1.715267	1.325004	75.479996	64.650002	
0.100000	1.728256	1.384461	75.320000	63.730000	
0.100000	1.712927	1.299505	75.391998	65.489998	
0.100000	1.710990	1.413414	75.587997	63.480000	
0.100000	1.727812	1.280096	75.269997	66.459999	
0.100000	1.696698	1.399075	75.681999	64.180000	
0.100000	1.712202	1.337096	75.241997	64.830002	
0.100000	1.710770	1.418078	75.402000	62.949997	
0.100000	1.711160	1.444421	75.442001	62.039997	
0.100000	1.721223	1.304286	75.360001	65.320000	
0.020000	0.837320	0.735947	87.925995	79.279999	
0.020000	0.574946	0.743207	91.666000	79.199997	
0.020000	0.476584	0.750217	93.357994	79.299995	
0.020000	0.406097	0.740672	94.313995	80.029999	
0.020000	0.348617	0.783370	95.166000	79.349998	
0.020000	0.318625	0.798710	95.753998	79.070000	
0.020000	0.291798	0.799373	96.175995	79.439995	
0.020000	0.275703	0.824019	96.491997	78.879997	
0.020000	0.268450	0.837768	96.543999	78.799995	
0.020000	0.261448	0.847890	96.649994	78.619995	
0.020000	0.257868	0.871697	96.605995	77.580002	
0.020000	0.279998	0.894958	96.367996	77.409996	
0.020000	0.289366	0.919263	96.292000	77.019997	
0.020000	0.285524	0.912772	96.306000	77.559998	
0.020000	0.314845	0.926939	95.851997	76.589996	
0.020000	0.315364	0.914832	95.921997	77.080002	
0.020000	0.329792	1.003537	95.708000	75.860001	
0.020000	0.352492	0.967731	95.241997	75.809998	
0.020000	0.364959	0.982468	95.021996	75.659996	
0.020000	0.397130	1.003958	94.491997	75.119995	
0.020000	0.365288	1.002456	95.026001	75.759995	
0.020000	0.368432	1.022776	94.923996	74.979996	
